fid,PA,chlor_0108,chlor_0107,chlor_0106,chlor_0105,chlor_0104,chlor_0103,mlotst_108,mlotst_107,mlotst_106,mlotst_105,mlotst_104,mlotst_103,sst_0108,sst_0107,sst_0106,sst_0105,sst_0104,sst_0103,bat,Long,Lat
"107",0,0.94742,0.56321,0.50942,1.39494,0.28902,0.27107,13.42814,11.59703,14.95407,28.38222,173.19255,220.80142,281.26334,280.98633,277.66428,276.0618,274.8862,275.56155,-356,-15.2916666666667,67.2916666666667
"108",0,0.9381,0.58984,0.57909,1.42552,0.28055,0.26178,13.27555,11.59703,14.95407,28.22962,168.30959,223.39549,281.21191,280.91733,277.62662,276.08209,274.85825,275.54779,-374,-15.2083333333333,67.2916666666667
"109",0,0.74439,0.62402,0.73199,0.94538,0.27271,0.2749,13.27555,11.74963,15.41185,27.61925,124.9733,207.52588,280.96591,280.61685,277.36035,275.99326,274.82602,275.41812,-550,-14.875,67.2916666666667
"110",0,0.76023,0.61326,0.69574,0.84461,0.27055,0.27791,13.27555,11.74963,15.41185,27.46666,113.37627,201.87994,280.91776,280.58228,277.2522,275.92825,274.83606,275.33841,-614,-14.7916666666667,67.2916666666667
"111",0,0.77223,0.57932,0.77385,0.73577,0.28574,0.27672,13.12296,11.59703,15.41185,26.5511,100.25331,195.92883,280.87897,280.56876,277.13782,275.85431,274.84543,275.22849,-632,-14.7083333333333,67.2916666666667
"112",1,0.80821,0.56166,0.9035,0.5388,0.29795,0.27516,13.12296,11.59703,15.41185,26.09333,92.01331,190.28291,280.84592,280.57504,277.03165,275.77188,274.84488,275.07962,-668,-14.625,67.2916666666667
"113",0,0.51903,0.43553,0.45203,1.00214,0.24101,0.2308,12.81777,11.59703,13.88592,15.56444,148.62515,223.85327,279.93951,279.33307,276.96686,275.92093,275.07373,275.15292,-452,-18.2083333333333,67.2083333333333
"114",0,0.65271,0.56353,0.68571,2.34164,0.28327,0.2515,12.81777,11.44444,15.10666,25.17777,167.24144,194.25032,281.25076,281.19611,277.54575,276.22638,274.93091,275.60477,-253,-15.2083333333333,67.2083333333333
"115",0,0.67697,0.54389,0.75033,2.53683,0.27609,0.26748,12.97037,11.59703,15.10666,25.63555,171.66663,200.04884,281.18533,281.13272,277.50494,276.21829,274.89957,275.60355,-260,-15.125,67.2083333333333
"116",0,0.61123,0.56332,0.76786,2.35876,0.27664,0.26712,13.27555,11.74963,15.25926,26.09333,172.1244,207.52588,281.12485,281.06573,277.4631,276.20175,274.88348,275.60089,-277,-15.0416666666667,67.2083333333333
